,Company,Revenue Growth Over Period (%),Net Income Growth Over Period (%)
0,Apple,-0.8350915988720051,-6.078975581896335
1,Microsoft,23.630402985827406,21.169127553685833
2,Tesla,79.79859911190384,165.3082919914954
